가래떡	NNG
간고등어	NNG
간장	NNG
갈비	NNG
갈비탕	NNG
감자튀김	NNG
강냉이	NNG
강정	NNG
개떡	NNG
건빵	NNG
겨울냉면	NNG
계란	NNG
계란덮밥	NNG
계란말이	NNG
고기	NNG
고량소주	NNG
고량주	NNG
고로케	NNG
고추가루	NNG
고추장	NNG
고춧가루	NNG
곤밥	NNG
골동반	NNG
곰	NNG
곰국	NNG
공갈빵	NNG
과자	NNG
국	NNG
국물	NNG
국밥	NNG
국수	NNG
국수오리	NNG
국숫발	NNG
규돈	NNG
김	NNG
김밥	NNG
김초밥	NNG
김치	NNG
김치찌개	NNG
까까	NNG
깍두기	NNG
껌	NNG
꼬부랑국수	NNG
꿀	NNG
꿀타래	NNG
꿔바로우	NNG
나박김치	NNG
날김치	NNG
날달걀	NNG
날맥주	NNG
냉라면	NNG
냉면	NNG
녹차	NNG
다코야키	NNG
단무지	NNG
달걀	NNG
달걀덮밥	NNG
달걀말이	NNG
닭갈비	NNG
닭강정	NNG
닭개장	NNG
닭고기	NNG
닭고기덮밥	NNG
닭꼬치	NNG
닭튀김	NNG
대굿국	NNG
덮밥	NNG
도넛	NNG
도미빵	NNG
돈가스	NNG
동치미	NNG
돼지고기	NNG
돼지고기덮밥	NNG
된장	NNG
된장찌개	NNG
두부	NNG
디저트	NNG
땅콩과자	NNG
떡	NNG
떡국	NNG
떡꼬치	NNG
떡볶이	NNG
뜨더국	NNG
라면	NNG
라면떡볶이	NNG
라면수프	NNG
라볶이	NNG
레모네이드	NNG
레몬수	NNG
마가린	NNG
마른반찬	NNG
마른오징어	NNG
마요네즈	NNG
마카로니	NNG
마파두부	NNG
막걸리	NNG
막대사탕	NNG
만두	NNG
만두기	NNG
맘마	NNG
맥주	NNG
머스터드	NNG
머스터드소스	NNG
먹거리	NNG
면발	NNG
묵	NNG
문어빵	NNG
물냉면	NNG
미숫가루	NNG
미음	NNG
밀가루	NNG
밀국수	NNG
밀크커피	NNG
바게트	NNG
바비큐	NNG
바삭과자	NNG
박고지	NNG
박하사탕	NNG
밥	NNG
배추김치	NNG
배춧국	NNG
백설탕	NNG
백포도주	NNG
버터	NNG
보드카	NNG
보르시	NNG
보리밥	NNG
보리차	NNG
보릿가루	NNG
보신탕	NNG
보쌈김치	NNG
볶음밥	NNG
부대찌개	NNG
부침개	NNG
분유	NNG
불고기	NNG
붕어빵	NNG
브랜디	NNG
블랙커피	NNG
비빔	NNG
비빔냉면	NNG
비빔밥	NNG
빙수	NNG
빠다	NNG
빵	NNG
사이다	NNG
사탕	NNG
사탕가루	NNG
삶은달걀	NNG
삼각김밥	NNG
삼겹살	NNG
삼계탕	NNG
삼두음	NNG
삼정과	NNG
새우튀김	NNG
샌드위치	NNG
샐러드	NNG
생강주	NNG
생강즙	NNG
생강차	NNG
생김치	NNG
생라면	NNG
