query,intent
°³ °³(µÎ '°³'ÀÇ ¸µÅ©°¡ ´Ù¸£´Ù ÈÄÀÚ´Â 1.1 Áï ºÎÁ¤Àû ÀÇ¹Ì) '°³'¶ó´Â µ¿¹° ÀÚÃ¼¸¦ ÀÏÄÂ´Â ¸»ÀÌ¶ó°í ÇÏ±â¿¡´Â 'ºñÇÏ' ¶Ç´Â '°ÝÇÏ'ÀÇ ÀÇ¹Ì°¡ °­ÇÏ´Ù. ³×ÀÌ¹ö ±¹¾î»çÀü¿¡ µû¸£¸é µ¿¹° '°³'°¡ ¾Æ´Ñ ´Ù¸¥ ÀÇ¹Ì·Î '°³'´Â 'Çà½ÇÀÌ ÇüÆí¾ø´Â »ç¶÷À» ºñ¼ÓÇÏ°Ô ÀÌ¸£´Â ¸»'ÀÌ¶ó´Â Ç®ÀÌ°¡ ÀÖ´Âµ¥ ÀÌ °æ¿ì°¡ ¿å¼³·Î¼­ÀÇ '°³'ÀÇ ¾î¿øÀÌ µÈ´Ù°í ÇÒ ¼ö ÀÖ´Ù. '³Ê´Â °³´Ù'¶ó´Â ½ÄÀ¸·Î '°³' ±× ÀÚÃ¼·Î ¿å¼³ÀÌ µÇ±âµµ ÇÏÁö¸¸ '°³-'¿Í °°ÀÌ Á¢µÎ»ç·Î »ç¿ëµÇ¸é¼­ ºñÇÏ ¶Ç´Â °ÝÇÏÀÇ ÀÇ¹Ì(°³³â °³»õ³¢ °³ÆÇ °³¾¾¹ß °³²ÃÅë °³¶ËÂ÷ °³½ÖÆÇ °³²Þ °³¼öÀÛ °³¸Á³ª´Ï µî)°¡ µÇ±âµµ ÇÏ°í 2000³â´ë µé¾î¼­´Â Ã»¼Ò³â°ú ¿Â¶óÀÎÀ» Áß½ÉÀ¸·Î '°­Á¶'ÀÇ ÀÇ¹Ì(°³¸ÀÀÖ´Ù °³Àç¹ÌÀÖ´Ù(°³²ÜÀë)/¾ø´Ù °³´þ´Ù °³¹«°Ì´Ù °³ºñ½Î´Ù °³ Á¸³ª Àß»ý°å´Ù(°³Á¸Àß) µî) ¸¦ ¶ì±âµµ ÇÏ´Â Ãß¼¼ÀÌ´Ù. ÈÄÀÚÀÇ °æ¿ì ¾î°¨Àº Á» ±×·¸Áö¸¸ '¿å¼³' ¶Ç´Â 'ºñÇÏ'ÀÇ ÀÇ¹Ì´Â ¾ø´Â °ÍÀ¸·Î ÀÌÇØÇÏ´Â ÆíÀÌ´Ù. ÇÏÁö¸¸ ±âº»ÀûÀ¸·Î '°³-'¸¦ Á¢µÎ¾î·Î »ç¿ëÇÏ´Â °æ¿ì ¿åÀÌ ¾Æ´Ñ °Íµµ À¢¸¸ÇÏ¸é ¿åÀÎ µíÇÑ ´À³¦À¸·Î ¸¸µé ¼ö ÀÖ°í Æ¯È÷ µè´Â »ç¶÷µé ÀÔÀå¿¡¼­´Â ¿å¼³Ã³·³ µé¸± ¼ö ÀÖÀ¸´Ï »ç¿ë¿¡ À¯ÀÇÇÏÀÚ.,1
°³°£³â °³°°Àº ¿©ÀÚÀÇ ¾àÀÚ,1
¤¸¤¤ ½È¾î,1
°³³â,1
°³µÅÁö ÇØ´ç Ç×¸ñ ÂüÁ¶.,1
°³»õ³¢(°ß°øÀÚÁ¦ºÐ) °³»õ ÇÑ±¹ÀÇ ¸ðµç ¿å Áß¿¡ Á¦ÀÏ ´ëÇ¥¸¦ ²ÅÀ¸¶ó¸é ¹Ù·Î ÀÌ '°³»õ³¢'¿Í '¾¾¹ß'À» ²ÅÀ» ¼ö ÀÖÀ» Á¤µµ·Î ´ëÇ¥ÀûÀÎ ¿åÀÌ´Ù. °³Á¿°°Àº »õ³¢¶ó°íµµ ÇÑ´Ù. Á¶¼±¿ÕÁ¶½Ç·Ï¿¡¼­µµ ³ª¿À´Â À¯¼­ ±íÀº(?) ¿å¼³ÀÌ´Ù. ´Ü¼øÈ÷ Áü½Â °°´Ù´Â ¶æÀ¸·Î »ý°¢ÇÏ±â ½±Áö¸¸ »ç½Ç ÆÐµå¸³ÀÌ ¼û¾î ÀÖ´Ù.,1
°³¾²·¹±â,1
°³¼Ò¸®,1
°³¾¾¹ß(°³¾ÃÇÒ),1
°³¾Ã  °³Á¿,1
°³Áö¶ö,1
°³Á·»õ °³ Á¿°°Àº »õ³¢ÀÇ ÁÙÀÓ¸»,1
°³Â÷¹Ý °³°¡ ¸Ô´Â À½½ÄÀÎ ¶ËÀÌ¶ó´Â ¶æÀ¸·Î ¾ðÇàÀÌ ¸÷½Ã ´õ·¯¿î »ç¶÷À» ¼ÓµÇ°Ô ÀÌ¸£´Â ¸». ´Ù¸¸ ¿äÁòÀº ¿å¼³º¸´Ù´Â ¾î°¨ ¶§¹®¿¡ ¾²ÀÌ´Â Æí. '¾¾¹ß' µµ ±×·¸´ÙÁö¸¸ ÇÑ±¹ÀÎµéÇÑÅ× ¾¾¹ßÀÌ ¹«½¼ ¶æÀÌ³Ä°í ¹°À¸¸é ´Ùµé ´ë´äÇÏ´Âµ¥ ÀÌ °³Â÷¹ÝÀÌ¶õ ¸»Àº ¹«½¼ ¶æÀÌ³Ä°í ¹°À¸¸é ´ë´äÇÒ ¼ö ÀÖ´Â »ç¶÷ÀÌ °ÅÀÇ ¾øÀ» °ÍÀÌ´Ù.,1
°Å··¹ðÀÌ °ÅÁö,1
°É·¹,1
Â¥Áõ³ª,1
°íÀÚ(ÇöÀç´Â ¿åÀ¸·Î½á °¡Áø ¶æÀÌ ¾àÇØÁø °Í °°´Ù.) ÀÌ »ç¶÷ÀÌ Ä£¼÷ÇÑ ÀÌ¹ÌÁö·Î ¹Ù²å±â ¶§¹®ÀÌ´Ù,1
°ú¸Þ±â °æ»óµµ ºñÇÏ ¹ß¾ð,1
±¤³à ±¤³âÀÌ,1
¤¸¤¤ Â¥Áõ³ª,1
¤¸¤¤Â¥Áõ³­´Ù,1
±Þ½ÄÃæ ±Þ½ÄÀ» ¸Ô´Â ÃÊÁß°íµùÀ» ºñÇÏÇÏ´Â ¿å¼³.,1
±èÄ¡³à »ó½Ä ÀÌÇÏÀÇ Çàµ¿À» ÇÏ°Å³ª ¼Ó¹°ÁÖÀÇÀÚ ³²¼ºÀ» ÀçÈ­·Î ¿©±â´Â ÇÑ±¹ ¿©¼ºµéÀ» ºñ³­ÇÏ´Â ¸»·Î ¾²ÀÎ´Ù. °°Àº ¶æÀ¸·Î´Â º¸½½¾ÆÄ¡°¡ ÀÖ´Ù. ¿ø·¡´Â ÇÑ±¹ ¿©¼ºµéÀ» ÁöÄªÇÏ´Â ³ó´ãÁ¶ÀÇ ³¹¸»ÀÌ¾úÀ¸³ª 2012³â ¸» ~ 2013³âºÎÅÍ´Â ¾Æ¿¹ ÇÑ±¹ ¿©ÀÚ ´Ù¼ö¸¦ ºñÇÏÇÏ´Â ¿ë¾î·Î ¹Ù²î¾î ´Ù¸¥ »çÀÌÆ®¿¡¼­µµ °©ÀÛ½º·¹ ¾öÃ» ¾²ÀÌ±â ½ÃÀÛÇß´Ù. ÀÚ¼¼ÇÑ °ÍÀº Ç×¸ñÂüÁ¶,1
²¨º¡ÀÌ º»·¡´Â ²¨º´ÀÌ. ²¨º´ÀÌ´Â ²æÀÇ »õ³¢¸¦ ¶æÇÏ´Â ¸»ÀÌ¸ç ²æÀÇ »õ³¢´Â °ÅÄ¥°í ÃßÇÏ°Ô »ý°å´Ù. ±×·¡¼­ Çàµ¿ÀÌ ¾î¼³ÇÂ »ç¶÷À» ¾èÀâ¾Æ ²¨º´ÀÌ¶ó°í ºÎ¸£´Ù ²¨º¡ÀÌ·Î ¹ßÀ½ÀÌ º¯ÇÏ¿´´Ù.,1
²¨Àú ²¨Á®,1
²¿°É,1
²¿ºØ ÀÏº»¸»ÀÎ í­ÝÂÀ¸·Î ¾²°í kobunÀ¸·Î ¹ßÀ½ÇÏ±â ¶§¹®¿¡ '²¿ºÀ'Àº Æ²¸®°í '²¿ºØ'ÀÌ ¸Â´Â ¸»ÀÌ´Ù. ¹Ý´ë¸»Àº ¿À¾ßºØÀÌ´Ù. 'ºÎÇÏ'¶ó´Â ¶æÀÌ´Ù.,1
²Á´ë,1
²ÃÅë ¿ø·¡ ¶æÀº ¸Ó¸®°¡ ³ª»Û »ç¶÷À» ¼ÓµÇ°Ô ÀÌ¸£´Â ¸»·Î ±× ¶æ°ú ´õºÒ¾î ¸Ó¸®¸¦ ¼ÓµÇ°Ô ÀÌ¸£´Â ¸»ÀÎ '°ñÅë' ¿¡¼­ ÆÄ»ýµÈ ¿åÀÌ´Ù. ¾ï¾çÀÌ °­Á¶µÈ ´À³¦ÀÌ¶ó °ñÅëº¸´Ù ¸¹ÀÌ ¾²ÀÎ´Ù.,1
³Ê °°Àº »õ³¢´Â »¶Å¥°¡ ÃÖ°í¾ß,1
³â + ³ð = ¿¬³ð,1
³¿ºñ ¹®¶õÇÑ ¿©ÀÚ¸¦ ºñ³­ÇÏ´Â ¸»·Î °É·¹ °¥º¸ Ã¢³àÀÇ ¿å¼³Àû ÀÇ¹Ì¿Í °°´Ù. ÆÄ»ý¾î·Î ¼º¸Å¸Å ¾÷¼Ò¿¡¼­ÀÇ ¼ºÇàÀ§¸¦ ¶æÇÏ´Â '³¿ºñ¸¦ ´Û´Ù'¶õ Àº¾î°¡ ÀÖ´Ù.,1
Æ²µüÃæ,1
³í´Ù´Ï,1
´À°³ºñ '´Ï ¾Öºñ'¿Í ºñ½ÁÇÑ ¶æÀÇ ÆÐµå¸³. ¿¹) ´À°³ºñ ÈÄÀå ÆÈÀÌ ´À°³ºñ ½À°üÀûÀ¸·Î ²¿Ãß ¸Ô¾ú´Âµ¥ ¾Ë°íº¸´Ï Áî°¡µé(Áî±×¾Æµé) ²¿Ãß,1
´À±Ý¸¶ ´Ï±â¹Ì(´Ï¹Ì)¿Í ºñ½ÁÇÑ ¶æÀÇ ÆÐµå¸³. ¿¹) ´À±Ý¸¶ ºØ¾î»§ Àå»ç,1
´Ï¹Ì·² '´Ï ¿¡¹Ì¶û ºÙ¾î¸ÔÀ»'ÀÌ¶õ ¶æÀÌ¶ó´Â ¼³ÀÌ ÀÖ´Ù. Á¤È®ÇÑ ¾î¿øÀº ºÒ¸í. º¸Åë Ãà¾àÇØ¼­ ´Ï¹ÌÇÒ ´Ï¹Ì·² µîÀ¸·Î »ç¿ëÇÑ´Ù. ÀÚ½ÅÀÇ ¾î¹Ì¿Íµµ ºÙ¾î¸ÔÀ» Á¤µµ·Î ¸·Àå½º·´°í ÀÎ°£ÀÌ±æ Æ÷±âÇÑ ³ðÀÌ¶ó´Â ½ÉÇÑ ¿åÀÌ´Ù.,1
´Ï±â¹Ì ³×¹Ì(¾î¶² ÀÏ¿¡ ´ëÇÏ¿© ¸÷½Ã ¸ø¸¶¶¥ÇÒ ¶§ ¿åÀ¸·Î ÇÏ´Â¸»)ÀÇ Àß¸ø. ´Ï¹Ì¿Í´Â ´Ù¸£´Ù,1
´Ï»ó³â,1
³ë´ä ¾î¶² »óÈ²¿¡ ¾î¶² »ç¶÷ÀÌ ÇÏ´Â Çàµ¿ÀÌ³ª ´Ù¸¥ °ÍµéÀÌ ¸»ÀÌ ¾ÈµÉ ¶§ »ç¿ëÇÑ´Ù. No (¾Æ´Ï´Ù) ´ä (Answer).,1
³ª°¡µÚÁ® ¸»±×´ë·Î ³ª°¡ µÚÁ®¶ó ¶ó´Â¶æ »ç¿ë¹æ¹ýÀº ¿åÀÌ ´Ù ±×·¸µí ¾Æ¹«µ¥³ª °¡Á®´Ù ºÙÀÌ¸éµÈ´Ù. Áö±ÝÀº ½±°Ô µéÀ» ¼ö ÀÖ´Â ¿åÀÌ°í º°·Î Ä¡¿å½º·¯¿î Ç¥ÇöÀÌ¶ó°í »ý°¢ÇÏÁöµµ ¾ÊÁö¸¸ °ú°Å¿¡´Â ²Ï Å« ¿åÀÌ¾ú´Ù. °­½ÃÇ×¸ñ¿¡¼­µµ º¼ ¼ö ÀÖÁö¸¸ ÀüÅëÀûÀÎ °ü³äÀ¸·Î´Â ÀÚ±â Áý¿¡¼­ Á×Áö ¾ÊÀº Á×À½À» °´»ç¶ó°í ÇÏ´Âµ¥ Å¸Áö¿¡¼­ Á×´Â °ÍÀº ¾ÆÁÖ ºñÂüÇÑ Á×À½À¸·Î ¿©°ÜÁ³´Ù.,1
´Ï¹Ì»Í ´Ï¹Ì(´Ï¾Ö¹Ì)¶ó´Â ÆÐµå¸³¿¡ »ÍÀÌ¶ó´Â ¾î°¨À» Ãß°¡ÇÑ °Í,1
